frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision,go_stop_label
198,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
199,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
199,2,car,2,6,51,7.0,0.5769230769230769,43.68000000000001,12.133333333333336,YELLOW,True,51.0,23.0,2,4.203296703296703,,0
200,2,car,2,6,51,7.0,0.6153846153846154,40.95,11.375,YELLOW,True,51.0,23.0,2,4.483516483516484,,0
200,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
201,2,car,2,6,51,7.0,0.6538461538461539,38.54117647058823,10.705882352941176,YELLOW,True,51.0,23.0,2,4.763736263736264,,0
201,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
202,2,car,2,6,50,8.0,0.6923076923076923,41.6,11.555555555555555,YELLOW,True,50.0,22.0,2,4.326923076923077,,0
202,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
203,2,car,2,6,50,8.0,0.7307692307692307,39.41052631578948,10.947368421052632,YELLOW,True,50.0,22.0,2,4.5673076923076925,,0
203,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
204,2,car,2,6,49,9.0,0.7692307692307693,42.12,11.7,YELLOW,True,49.0,21.0,2,4.188034188034188,,0
204,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
205,2,car,2,6,49,9.0,0.8076923076923077,40.114285714285714,11.142857142857142,YELLOW,True,49.0,21.0,2,4.397435897435898,,0
205,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
206,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
206,2,car,2,6,48,10.0,0.8461538461538461,42.54545454545455,11.818181818181818,YELLOW,True,48.0,20.0,2,4.061538461538461,,0
207,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
207,2,car,2,6,48,10.0,0.8846153846153846,40.69565217391305,11.304347826086955,YELLOW,True,48.0,20.0,2,4.246153846153846,,0
208,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
208,2,car,2,6,47,11.0,0.9230769230769232,42.9,11.916666666666666,YELLOW,True,47.0,19.0,2,3.944055944055944,,0
209,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
209,2,car,2,6,47,11.0,0.9615384615384616,41.184,11.44,YELLOW,True,47.0,19.0,2,4.108391608391608,,0
210,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
210,2,car,2,6,47,11.0,1.0,39.6,11.0,YELLOW,True,47.0,19.0,2,4.2727272727272725,,0
211,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
211,2,car,2,6,46,11.0,1.0,39.6,11.0,YELLOW,True,46.0,18.0,2,4.181818181818182,,0
212,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
212,2,car,2,6,46,11.0,1.0,39.6,11.0,YELLOW,True,46.0,18.0,2,4.181818181818182,,0
213,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
213,2,car,2,6,45,12.0,1.0,43.2,12.0,YELLOW,True,45.0,17.0,2,3.75,,0
214,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
214,2,car,2,6,45,11.0,1.0,39.6,11.0,YELLOW,True,45.0,17.0,2,4.090909090909091,,0
215,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
215,2,car,2,6,44,11.0,1.0,39.6,11.0,YELLOW,True,44.0,16.0,2,4.0,,0
216,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
216,2,car,2,6,44,11.0,1.0,39.6,11.0,YELLOW,True,44.0,16.0,2,4.0,,0
217,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
217,2,car,2,6,43,11.0,1.0,39.6,11.0,YELLOW,True,43.0,15.0,2,3.909090909090909,,0
218,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
218,2,car,2,6,43,11.0,1.0,39.6,11.0,YELLOW,True,43.0,15.0,2,3.909090909090909,,0
219,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
219,2,car,2,6,44,10.0,1.0,36.0,10.0,YELLOW,True,44.0,16.0,2,4.4,,0
220,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
220,2,car,2,6,43,10.0,1.0,36.0,10.0,YELLOW,True,43.0,15.0,2,4.3,,0
221,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
221,2,car,2,6,43,9.0,1.0,32.4,9.0,YELLOW,True,43.0,15.0,2,4.777777777777778,,0
222,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
222,2,car,2,6,42,9.0,1.0,32.4,9.0,YELLOW,True,42.0,14.0,2,4.666666666666667,,0
223,2,car,2,6,42,9.0,1.0,32.4,9.0,YELLOW,True,42.0,14.0,2,4.666666666666667,,0
223,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
224,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
224,2,car,2,6,41,10.0,1.0,36.0,10.0,YELLOW,True,41.0,13.0,2,4.1,,0
225,2,car,2,6,40,11.0,1.0,39.6,11.0,YELLOW,True,40.0,12.0,2,3.636363636363636,,0
225,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
